INFOS GENERALES;;;;;;;;;;;;;;LOCALISATION;;;;;BIBLIOGRAPHIE;;;;METHODOLOGIE;;;;;TOPOGRAPHIE;;;;;PARAMETRES ABIOTIQUES;;;;;;;;;DESCRIPTION DE LA VEGETATION;;;;;;;;;;;;;;;;;;;DESCRIPTION DE LA HAUTEUR;;;;;;;;;TYPOLOGIE;;;;;;;;;;;;;;;;;;COMMENTAIRES;;
PROJECT;NAME_RELEVE;REPETITION;COMPLETE;DATE_S;AUTHOR;PROTOCOL;COVERSCALE;LOCA_METHOD;PRECISION;DEG_LONG;DEG_LAT;ALTITUDE;REF_GEO;DEPARTMENT;COUNTY;LOCALITY;NAT_REGION;;REFERENCE;TABLE_NR;NR_IN_TAB;;SURF_AREA;SAMPLING;MOSS_IDENT;LICH_IDENT;;EXPOSURE;SLOPE;GEOL_SUBST;PEDOLOGY;;MANAGEMENT;LIGHTING;SOIL_PH;HYDRO;NUTRIENT;TEMPERATUR;CLIMATE;SALINITY;;COV_TOTAL;COV_TREES;COV_TREE40;COV_TREE20;COV_TREE10;COV_TREE6;COV_SHRUBS;COV_HERBS;COV_EMERGE;COV_FLOATG;COV_FLOOD;COV_MOSSES;COV_LICHEN;COV_ALGAE;COV_LITTER;COV_WATER;COV_ROCK;BRYO_LICH;;TREE_HIGH;TREE_LOW;SHRUB_HIGH;SHRUB_LOW;HERB_HIGH;HERB_LOW;HERB_MAX;CRYPT_HEIG;;ORIGIN_ALLI;ORIGIN_ASS;ORIGIN_SUB;REL_TYPE;PVF1;PVF2_ASS;PVF2_SUB;REVIEW_ASS;REVIEW_SUB;REV_SOURCE;REV_NAME;CLC;CATMINAT;N_2000;CAH_HAB;EUNIS;CORINE;;COMMENTS;OTHERINFO;
BD Orsay;T0001_1;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_2;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_3;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_4;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_5;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_6;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_7;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_8;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_9;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
BD Orsay;T0001_10;;Oui;19720101;PUTOT P.;Indice macrophytique;_2_Braun_Blanquet;Point_approximatif;Google earth;5.97288513183594;46.3741836547852;;WGS84;;;Haut Jura;;;Contribution à l'étude de la végétation des prairies du Haut-Jura.- D.E.S., Univ. Besançon.;II;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cynosurion cristati Tx.1947;Festuco-Cynosuretum;;;;;;;;;;;;;;;;;;;
